sentence,term,category,polarity
높은 시장 점유율과 인지도,인지도,커리어,positive
대외적으로 젊고 혁신적인 이미지,이미지,커리어,positive
서비스들 배끼기에만 급급하고 스스로 혁신 하고자 하는 의지나 창의성이 전혀 없는 안정 지향적인 회사,베끼기,사내문화,negative
최고의 아이티 기업으로 폭풍성장을 경험할 수 있음,폭풍성장,커리어,positive
글로벌도 경험 가능,글로벌,커리어,positive
대기업같은 문화라서 좀 많이 경직되어있고 하라면 해야함,경직,사내문화,negative
과거에는 편안했으나 요즘은 워라벨 없지만 그래도 다른 데보다는 덜 하지 않을까 함,워라벨,업무,positive
상대적인 보상차이가 큼 보상해준다고 해도 요새 잘나가는 회사대비 부족,보상,급여,negative
나이들면 천대하는 회사,나이,사내문화,negative
신입이 일 배우기 좋음,일,커리어,positive
워라벨이 좋은 화사,워라벨,업무,positive
복지도 좋음,복지,복지,positive
서로 자기 할 것만 해서 개인주의적인 분위기가 매우 강함,분위기,사내문화,negative
"보험, 대출 등의 복지 제도",복지,복지,positive
괜찮은 급여,급여,급여,positive
자유로운 휴가 사용,휴가,복지,positive
산출물에 대한 히스토리 공유 시스템이나 라이브러리 구축 미비,시스템,업무,negative
스톡을 준다,스톡,복지,positive
커리어 향상엔 좋다,커리어,커리어,positive
구내식당이 있다,구내식당,복지,positive
자율 출퇴근,출퇴근,복지,positive
워라밸이 안좋고 급여가 적음,워라밸,업무,negative
워라밸이 안좋고 급여가 적음,급여,급여,negative
인센을 한명에게 몰아준다,인센,급여,negative
평가 시스템이 합리적이지 않은듯하다,평가,급여,negative
쪼랩이라서 모르는 걸 수도 있지만 말심하게 하거나 유치한 싸움 같은거 없고 다들 대할때 조심스러운 편인 느낌,싸움,사내문화,positive
큰 회사는 역시 분업이 잘 되어 있음,분업,업무,positive
모든 회사가 그렇겠지만 좋은 팀과 동료를 만나서 워라밸이나 적응하는 거나 모두 만족스러운 편,동료,사내문화,positive
모든 회사가 그렇겠지만 좋은 팀과 동료를 만나서 워라밸이나 적응하는 거나 모두 만족스러운 편,워라밸,업무,positive
생각보다 짜치는 업무가 많고 네이버라는 회사가 주는 디지털화 자동화 it 스러운 이미지에 비해서는 수동인 영역이 많음,업무,업무,negative
우리는 트렌드를 따라간다니까 다른말로 하자면 변화가 잦고 방향성이 자주 흔들림,변화,사내문화,negative
우리는 트렌드를 따라간다니까 다른말로 하자면 변화가 잦고 방향성이 자주 흔들림,방향성,사내문화,negative
복지가 좋다 정말 좋다 회사도 이쁘고 사무실도 초록초록해서 좋다,복지,복지,positive
어떤 가이드가 없이 혼자 알아서 해야하는 점이 조금 힘들다,혼자,업무,negative
괜찮은 연봉,연봉,급여,positive
워라밸 무난한편,워라밸,업무,positive
복지도 무난하다,복지,복지,positive
자기개발하기도 좋음,자기개발,커리어,positive
정치질 너무 심함 진짜 여우같이 구는 사람들 많음 ,정치질,사내문화,negative
일 알려주는 사람 1도없음 극 개인주의,개인주의,사내문화,negative
"좋은 복지(업무지원센터, 업무기기, 카페 등)",복지,복지,positive
스톡옵션 스톡그랜트,스톡,복지,positive
의사결정 구조 지나친 개인주의,개인주의,사내문화,negative
뛰어난 동료들,동료,사내문화,positive
편리한 인프라,인프라,복지,positive
괜찮은 네임밸류,네임밸류,커리어,positive
큰 규모의 서비스가 많아 안정적으로 성장 가능,성장,커리어,positive
다른 회사들의 엄청난 발전으로 인해 보상 체계가 상대적으로 약화되는 부분은 어쩔수 없는듯,보상,급여,negative
구성원들 퀄리티가 좋고 배울점이 많다 전직장대비 회사에서 이런저런 신경을 많이 써준다,배울점,커리어,positive
책임리더 및 경영진들의 탑다운식 업무처리 때문에 힘들고 보고가 너무 많다,경영진,사내문화,negative
복지도 좋고 사람들도 이만하면 좋음,복지,복지,positive
네이버라는 네임벨류,네임밸류,커리어,positive
가끔 꼰대 있음 네임벨류가 가장 크고 그 외에는 잘 모르겠음,꼰대,사내문화,negative
부바부이긴 하지만 코드리뷰 문화가 너무 좋고 최신기술스택에 거부감이 없는것 같습니다!,거부감,업무,positive
워라밸 보장,워라밸,업무,positive
복지 좋음,복지,복지,positive
스톡 프로그램이 다양하고 잘되어 있음,스톡,복지,positive
정치싸움이 심함 팀이 계속 사라지고 없어짐 개인주의적 성격이 강함,정치싸움,사내문화,negative
정치싸움이 심함 팀이 계속 사라지고 없어짐 개인주의적 성격이 강함,개인주의,사내문화,negative
젊은 팀원들,팀원,사내문화,positive
나쁘지 않은 복지,복지,복지,positive
대기업 다운 큰 시스템,시스템,업무,positive
의사결정 느림,의사결정,업무,negative
사람사이의 존중과 배려가 부족함,존중,사내문화,negative
연봉협상은 무의미,연봉협상,급여,negative
대체로 괜찮음 하지만 좋음으로 넘어가는 수준의 것은 많지 않음 밥이랑 복지 중 일부 정도,복지,복지,positive
정치하는 사람이 꽤 많음 특정 조직은 전체가 정치중 하지만 또 좋은팀도 존재함,정치,사내문화,negative
자유로운 분위기가 좋습니다 자율출퇴근 개인문화도 좀 있어요,분위기,사내문화,positive
너무 자유로워서 신입이 적응하기 힘듦 뭔가 서로 챙겨주는 문화는 아니고 자생해야하는 느낌입니다,문화,사내문화,negative
업계 전체로 보면 급여는 적당함 그러나 요구하는 능력에 비해 많이주는 것은 아님,급여,급여,positive
동료들 똑똑해서 좋음 다들 일 잘하고 배울게 많음 주니어땐 기술적으로 많이 성장함,성장,커리어,positive
다들 안챙겨준다 하지만 회사가 눈치봐서 복지든 급여든 챙겨줄 건 챙겨줌,복지,복지,positive
다들 안챙겨준다 하지만 회사가 눈치봐서 복지든 급여든 챙겨줄 건 챙겨줌,급여,급여,positive
커리어에 한번 찍으면 어느정도 개발자로서 인정을 받음.,인정,커리어,positive
워라밸 좋다지만 바쁜곳은 너무 바쁨 이럴거면 토스 가서 일하는게 낫겠다는 생각을 종종함,바쁨,업무,negative
능력들이 좋아서인지 조금이라도 모르는것에 대해 인색함 그래서 다들 잘하는데도 소극적인 경향이 강함 이것때문에 활발히 될 기술공유도 덜 되는듯한 느낌임,소극적,사내문화,negative
인턴을 하면서 자유로운 기술스택을 선택하는 것이 인상깊었음,기술스택,업무,positive
정말 알려주기보다는 알아서 헤쳐나가는 식의 과정이었음니다,알아서,업무,negative
"연구 및 개발환경이 좋은 편이면, 급여 및 복지는 업계에서 높다고 생각합니다 한국에서는요",급여,급여,positive
"연구 및 개발환경이 좋은 편이면, 급여 및 복지는 업계에서 높다고 생각합니다 한국에서는요",복지,복지,positive
"자기주장이 강한분들이 조금 많아서, 회의를 통해 협의를 하는데 시간이 오래걸립니다",자기주장,사내문화,negative
사내시스템 등이 잘 마련되어 있고 사옥 넘 좋음 위치는 구리지만,사내시스템,업무,positive
사내시스템 등이 잘 마련되어 있고 사옥 넘 좋음 위치는 구리지만,사옥,복지,positive
동료들이 정말 뛰어나고 서로 존중하는 문화라 업무 스트레스가 없음,문화,사내문화,positive
성장하는 조직에 있어서 그런지 배울 것도 많고 일하는 게 즐거움,성장,커리어,positive
업무 스트레스는 없는데 육체적으로는 좀 힘든듯 야근이 많긴 하다 누구 하나 강요하진 않는데 자발적으로 야근하게 되는,야근,업무,negative
그리고 연봉 점프 기회가 많이 없어서 때 되면 이직해야 할 것 같다 승진 시스템 없는 게 장점이자 단점 같은데 레벨제 같은 거라도 있어야 연봉 확 점프가 돼서 동기부여가 될 것 같다,연봉,급여,negative
배우고 커리어 쌓기에 좋은 것 같다 그래도 IT기업중 큰 기업이다,커리어,커리어,positive
팀바팀이겠지만 별로인 팀은 별로이다 네카라쿠배의 명성을 점점 잃어가는것 같다,팀,사내문화,negative
비교적 자유로운 분위기,분위기,사내문화,positive
복지가 괜찮은편,복지,복지,positive
평균정도 보상,급여,급여,positive
위치가 너무 구림,위치,복지,negative
성장이 어려움,성장,커리어,negative
생각보다 체계 별로 없음,체계,업무,negative
아무래도 국내에서 가장 큰 it 회사 이기 때문에 운영 노하우라던지 시스템적으로 배울부분은 있어요,시스템,업무,positive
문화가 개인주의가 너무 심하고 생각보다 체계가 없어요 그리고 좀 의미없는 보고가 많은듯합니다,문화,사내문화,negative
직원들 소리를 들으려는 노력과 시도는 한다고 생각함 예쁜 레쥬메를 가질 수 있음,레쥬메,커리어,positive
수직적이고 새로운 변화을 만들기 쉽지 않음 부밍하는 IT 회사라기 보다는 대기업이라고 생각하는 편이 좋음,수직,사내문화,negative
"회사를 걱정할 필요가 없고, 능력있는 동료들에게 배울 수 있음",동료,사내문화,positive
회사가 원하는 퀄리티의 업무를 해내기 위해선 워라밸을 희생해야됨,워라밸,업무,negative
실제 서비스에 기여하고 피드백 받고 성장할수 있는 점이 장점입니다 좋은 분들과 일하면서 많은것을 배울수 있어요,성장,커리어,positive
네이버 다닌다고 하면 있어보임 제3자가 보기에 좋아보이는 회사,보기,커리어,positive
"네이버 다닌다고 하면 있어보이나 업무 체계가 없고 팀바팀, 사바사 업무 잘못 맡으면 커리어 망가짐",커리어,커리어,negative
그린팩토리에서 근무할 경우 근무환경이 쾌적한편이고 좋고 차별화된 큰 복지는 없지만 스톡에서부터 개인업무지원금까지 없는건 또 없는 다양한 복지정책.,복지,복지,positive
그린팩토리에서 근무할 경우 근무환경이 쾌적한편이고 좋고 차별화된 큰 복지는 없지만 스톡에서부터 개인업무지원금까지 없는건 또 없는 다양한 복지정책.,스톡,복지,positive
내부 경쟁이 치열하고 사람을 갈아서 서비스를 만든다,경쟁,사내문화,negative
내부 경쟁이 치열하고 사람을 갈아서 서비스를 만든다,사람,업무,negative
수평적인척 하지만 굉장히 수직적인 문화이며 리더랑 친해야 팀이동 등 여러모로 유리하며 인정받을 수 있음,문화,사내문화,negative
개인주의적인 사내 문화,문화,사내문화,positive
교육의 부재 스스로 해내지 못하면 성장하지 못할것 같다,교육,업무,negative
"나름 서비스 기획, 마케팅 직종에서는 배울 수 있고 성장할 수 있는 기회를 많이 주는 회사",성장,커리어,positive
워라밸이 좀 아쉬움 대기업답게 사내복지는 좋은 편이긴 함,워라밸,업무,negative
워라밸이 좀 아쉬움 대기업답게 사내복지는 좋은 편이긴 함,사내복지,복지,positive
연봉 복지 성과 보상 본인이 실력이 있다는 가정하에 국내 평균 이상임,연봉,급여,positive
연봉 복지 성과 보상 본인이 실력이 있다는 가정하에 국내 평균 이상임,복지,복지,positive
연봉 복지 성과 보상 본인이 실력이 있다는 가정하에 국내 평균 이상임,성과,커리어,positive
연봉 복지 성과 보상 본인이 실력이 있다는 가정하에 국내 평균 이상임,보상,급여,positive
자유롭고 수평적인 문화,문화,사내문화,positive
개발자의 커리어성장을 장려하는 문화,커리어,커리어,positive
대빵의 자본 배분 능력이나 사업 투자 능력은 출중하나 고위 경영진 기용의 기준이 모호함 경영진에 따라 cic 분위기가 천차만별,경영진,사내문화,negative
개인주의적인 문화도 타 기업에 비해서는 있는 편,문화,사내문화,negative
글로벌 업무 경험은 아무래도 힘듬,업무,업무,negative
팀바팀이겠지만 자유롭게 의견을 내고 적극적으로 수용해주시려는 분위기,분위기,사내문화,positive
업무에 대한 기준이나 기대치가 높아 추가업무 및 자발적 업무를 하게되는 분위기,분위기,사내문화,negative
업무에 대한 기준이나 기대치가 높아 추가업무 및 자발적 업무를 하게되는 분위기,업무,업무,negative
맡은 일만 잘하면 많은 자율이 보장됩니다 일에만 집중할 수 있도록 든든한 지원도 뒤따릅니다 뛰어난 동료들과 일할 수 있고 많은 성장의 기회가 있습니다,성장,커리어,positive
자율이 보장되는 만큼 책임도 따릅니다 스스로 결정하는 것이 어렵거나 자신의 전문 분야 지식이 부족하다면 회사생활이 어려울 수도 있습니다,책임,업무,negative
일 잘하는 사람들이 많아서 배울 점이 많아요 실력을 기르기에 정말정말 좋습니다,실력,커리어,positive
온보딩이 어렵고 입사 프로세스가 느려요. HR팀 일 많은 건 알지만 바뀌긴해야해요,프로세스,업무,negative
유능하신 분들과 함께할 수 있던게 가장 큰 장점이라고 생각합니다,유능,업무,positive
수직적인 문화가 없다고 하면 거짓말 같습니다 바텀업 문화는 이제 돌아갈수없겠지요,문화,사내문화,negative
좋은 동료,동료,사내문화,positive
